name,food_subgroup,food_group
Angelica,Herbs,"Herbs and Spices"
"Savoy cabbage",Cabbages,Vegetables
"Silver linden",Herbs,"Herbs and Spices"
Kiwi,"Tropical fruits",Fruits
Allium,"Onion-family vegetables",Vegetables
"Garden onion","Onion-family vegetables",Vegetables
Leek,"Onion-family vegetables",Vegetables
Garlic,Herbs,"Herbs and Spices"
Chives,Herbs,"Herbs and Spices"
"Lemon verbena",Herbs,"Herbs and Spices"
"Cashew nut",Nuts,Nuts
Pineapple,"Tropical fruits",Fruits
Dill,Herbs,"Herbs and Spices"
"Custard apple","Tropical fruits",Fruits
"Wild celery",Spices,"Herbs and Spices"
Peanut,Nuts,Nuts
Burdock,"Root vegetables",Vegetables
Horseradish,Spices,"Herbs and Spices"
Tarragon,Herbs,"Herbs and Spices"
Mugwort,Herbs,"Herbs and Spices"
Asparagus,"Shoot vegetables",Vegetables
Oat,Cereals,"Cereals and cereal products"
"Star fruit","Tropical fruits",Fruits
"Brazil nut",Nuts,Nuts
"Common beet","Leaf vegetables",Vegetables
Borage,"Oilseed crops","Herbs and Spices"
"Chinese mustard",Cabbages,Vegetables
Swede,"Root vegetables",Vegetables
Rape,"Root vegetables",Vegetables
"Common cabbage",Cabbages,Vegetables
Cauliflower,Cabbages,Vegetables
"Brussel sprouts",Cabbages,Vegetables
Kohlrabi,"Root vegetables",Vegetables
Broccoli,Cabbages,Vegetables
"Chinese cabbage",Cabbages,Vegetables
Turnip,Herbs,"Herbs and Spices"
"Pigeon pea",Peas,Pulses
Tea,Teas,Teas
Capers,Spices,"Herbs and Spices"
Pepper,"Fruit vegetables",Vegetables
Papaya,"Tropical fruits",Fruits
Safflower,"Oilseed crops","Herbs and Spices"
Caraway,Spices,"Herbs and Spices"
"Pecan nut",Nuts,Nuts
Chestnut,Nuts,Nuts
"Roman camomile",Herbs,"Herbs and Spices"
Chickpea,Peas,Pulses
Endive,"Leaf vegetables",Vegetables
Chicory,"Root vegetables",Vegetables
"Chinese cinnamon",Spices,"Herbs and Spices"
"Ceylon cinnamon",Spices,"Herbs and Spices"
Watermelon,Gourds,Gourds
Lime,Citrus,Fruits
Lemon,Citrus,Fruits
Pummelo,Citrus,Fruits
"Mandarin orange (Clementine, Tangerine)",Citrus,Fruits
"Sweet orange",Citrus,Fruits
Coffee,Coffee,"Coffee and coffee products"
"Arabica coffee",Coffee,"Coffee and coffee products"
"Robusta coffee",Coffee,"Coffee and coffee products"
Coriander,Herbs,"Herbs and Spices"
"Common hazelnut",Nuts,Nuts
